"Status
","Block
","CRN
 ","Course
","Type
","Day
","Begin
Time","End
Time"," * Instructor 
","* Bldg/Room
","Start Date
","End Date
 ","Max.
","Act.
","Hrs
"
Active, ACIT 1 A,44279,ACIT1420,A,Fri,830,1120," Zhang, Lei",DTC 578,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 A,34319,ACIT1515,A,Mon,1330,1620," Lane, Thomas F",DTC 581,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 A,34322,ACIT1620,A,Wed,830,1120," Hart, Richard",DTC 552,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 A,34355,ACIT1630,A,Thu,830,1120," Yu, Benjamin",DTC 676,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 A,34328,COMM1116,A,Mon,830,1120," Rockall, Matthew",DTC 676,05 Sep 2018,07 Dec 2018,25,24,2.83
Active, ACIT 1 A,34331,MATH1310,A,Thu,1330,1620," Hajikolaei, Kambiz Haji",DTC 552,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 A,34334,ORGB1100,A,Tue,830,1050," Morgan, Peter A",DTC 676,05 Sep 2018,07 Dec 2018,25,23,2.33
Active, ACIT 1 B,44280,ACIT1420,A,Wed,1130,1420," Zhang, Lei",DTC 552,05 Sep 2018,07 Dec 2018,25,24,2.83
Active, ACIT 1 B,34320,ACIT1515,A,Fri,1330,1620," Lane, Thomas F",DTC 581,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 B,34323,ACIT1620,A,Tue,830,1120," Hart, Richard",DTC 552,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 B,34356,ACIT1630,A,Thu,1330,1620," Yu, Benjamin",DTC 676,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 B,34329,COMM1116,A,Mon,1330,1620," Rockall, Matthew",DTC 676,05 Sep 2018,07 Dec 2018,25,22,2.83
Active, ACIT 1 B,34332,MATH1310,A,Fri,830,1120," Hajikolaei, Kambiz Haji",DTC 552,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 B,34335,ORGB1100,A,Tue,1330,1550," Morgan, Peter A",DTC 676,05 Sep 2018,07 Dec 2018,25,21,2.33
Active, ACIT 1 C,44946,ACIT1420,A,Tue,1330,1620," Zhang, Lei",DTC 590,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 C,41869,ACIT1515,A,Mon,830,1120," Lane, Thomas F",DTC 581,05 Sep 2018,07 Dec 2018,25,26,2.83
Active, ACIT 1 C,41870,ACIT1620,A,Thu,830,1120," Hart, Richard",DTC 552,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 C,41871,ACIT1630,A,Fri,830,1120," Yu, Benjamin",DTC 676,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 C,41873,COMM1116,A,Tue,830,1120," Rockall, Matthew",DTC 652,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 C,41874,MATH1310,A,Fri,1330,1620," Hajikolaei, Kambiz Haji",DTC 552,05 Sep 2018,07 Dec 2018,25,25,2.83
Active, ACIT 1 C,41875,ORGB1100,A,Wed,830,1050," Morgan, Peter A",DTC 676,05 Sep 2018,07 Dec 2018,25,25,2.33
Active, ACIT 2 A,45151,ACIT2420,A,Tue,830,1120," Parry, James",DTC 581,05 Sep 2018,07 Dec 2018,25,24,2.83
